t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro,cluster
153,9716.645945824617,3019.1631362145586,32.416503898325416,32,295.78125,227.9375,15.5625,362.4616593149374,-0.3177084475156704,0.1790827002955453,-0.11507030134243212,1
154,9888.0277316262,3023.777495849279,34.3666475245206,32,297.25,229.0,15.625,171.45498499472365,-0.135474100701245,0.46324367429954094,0.04368888151506578,1
155,10137.938838672331,2984.948767607084,35.217862470584876,32,298.125,230.0625,15.5,252.91096482519998,0.5215145809480077,0.31912416030354507,0.11475689869079808,1
156,10406.643334206436,2922.2423793156995,34.741467377772466,33,295.3636363636364,231.27272727272728,15.787878787878787,275.92467088876236,1.3514880283399577,-0.048619336887888664,0.07685628518113319,1
157,10442.407775074726,3023.8420775551026,33.18816389910201,33,295.4848484848485,230.4848484848485,15.696969696969697,107.7218950105132,1.177136733747389,1.0590025030562913,-0.06214483939194615,1
158,10779.811505946527,2973.045033126038,33.07550867766356,33,294.5151515151515,231.03030303030303,15.727272727272727,341.20614006805096,2.6162050992686403,0.6913843133637911,-0.05226665391365426,1
159,10543.431328518307,2895.572578542838,33.713220966535275,34,295.97058823529414,230.11764705882354,15.941176470588236,248.7528415457926,1.5442012416290538,0.1490384445797659,0.025352030904029377,1
160,10470.160048687747,2804.0092440462067,33.9074419599235,35,296.3142857142857,231.4,16.085714285714285,117.27131957108918,1.5292643452516046,-0.6981448595853905,0.05041402019471253,1
161,9937.01396404619,2776.1498243860556,33.69008968410001,38,294.2631578947368,230.42105263157896,16.710526315789473,533.873526291045,-0.5528447470292548,-1.0384337212036527,0.030780165717838592,1
162,9883.523532860207,2809.5501663651708,32.58255077462121,40,290.625,230.225,16.95,63.07167125754802,-0.2709046616531623,-0.8681244431950503,-0.04122259200535172,1
163,9429.536299137368,2799.3587277235874,32.545537515473974,44,291.52148194271484,231.63729763387298,16.863013698630137,454.1016132705125,-1.9296053458018747,-1.070228329561786,-0.024977450747202035,1
164,9531.757885276034,2867.548519765202,32.39297512405167,44,294.02272727272725,227.5909090909091,16.795454545454547,122.8784915543268,-0.832420047285126,-0.5973942569102206,-0.019975803726554275,1
165,9522.286547636715,2966.9709572126917,32.350467271701156,44,294.67885375494075,225.77470355731228,16.59288537549407,99.87256435876427,-0.21481897135279837,0.1555550031907913,-0.027851979057563092,1
166,9367.760430319924,3021.856090102551,32.818047478755375,45,292.93333333333334,225.6888888888889,16.555555555555557,163.9845034647793,-0.3190268245934078,0.49576140415707926,0.003652021298608865,1
167,9178.52480713333,3094.5685651852996,31.246692204341844,46,292.2608695652174,227.0186335403727,16.54503105590062,202.73059530538652,-0.9179947870530327,1.0258051257070875,-0.1516367019838203,1
168,9064.881028029398,3088.957961915491,34.488373653612555,49,292.44897959183675,225.0408163265306,16.428571428571427,113.82836156552958,-1.3588149916407843,0.8048900995536599,0.11971984310681982,1
169,9355.80944752805,3095.081952092859,34.19731341532406,49,292.81632653061223,227.42857142857142,16.285714285714285,290.9930123623908,-0.04697588395082164,0.7671832822216942,0.08816754780468461,1
170,9628.395101878103,3076.3766792366164,32.87753167162043,49,290.42857142857144,228.9387755102041,16.285714285714285,273.229881261043,0.9738582575933066,0.6333602450752238,-0.05172655874635357,1
171,9948.209640362125,3045.125027809519,32.62908922480397,52,288.46153846153845,228.40384615384616,16.28846153846154,321.3379318821832,1.9974574887226026,0.4962964066697637,-0.11066643377344487,1
172,9486.132179382777,2972.6361666421085,34.89317660886018,54,288.24074074074076,224.85185185185185,16.40740740740741,467.73426326296817,-0.9595683558118111,-0.03187723895351979,0.04630407595441799,1
173,9662.337836419232,2916.6647867799684,36.044016032626054,54,290.18518518518516,223.74074074074073,16.333333333333332,184.88524377759305,-0.7141484189203737,-0.30407530993606713,0.10619829126050462,1
174,9573.793408929392,2901.8999248790215,35.819393464313954,55,288.3272727272727,225.29090909090908,16.509090909090908,89.7672949450732,-1.8561375434785958,-0.23276328767160237,0.040794693386470016,1
175,9972.534840871826,2916.7862867323233,34.832571375439485,56,290.9107142857143,227.53571428571428,16.125,399.020434482452,-0.6159217536719694,-0.034055415629651975,-0.09421652986570095,1
176,10610.164879184395,2892.2795576030744,36.256086450448954,57,295.89473684210526,227.68421052631578,16.17543859649123,638.1023992481703,1.9232647219119485,-0.32133404965802015,-0.022250283121754144,1
177,10587.771617547714,2849.6567982167335,36.499191245034496,59,298.4406779661017,225.3728813559322,16.10169491525424,48.14786479560515,1.1706224212684901,-0.9195276295982282,-0.06754276122437108,1
178,10612.5226631714,2860.473858982599,37.27696247685489,59,299.0,225.1864406779661,16.25423728813559,27.022731008675084,0.6638990236488098,-1.1830377805421293,-0.05038010389907832,1
